	artist_ids	artist_names	popularity_score	track_ids	track_names	genres_all	acousticness	analysis_url	danceability	duration_ms	energy	instrumentalness	key	liveness	loudness	mode	speechiness	tempo	time_signature	track_href	type	uri	valence
936	4VmEWwd8y9MCLwexFMdpwt	Method Man	45	4LxBimF0Owr8n3VRb89nqT	Episode 1 - Kill Different	east coast hip hop, gangster rap, hardcore hip hop, hip hop, pop rap, rap, southern hip hop	0.000746	https://api.spotify.com/v1/audio-analysis/4LxBimF0Owr8n3VRb89nqT	0.556	195413	0.86	0.0	11	0.0599	-5.96	0	0.114	80.977	4	https://api.spotify.com/v1/tracks/4LxBimF0Owr8n3VRb89nqT	audio_features	spotify:track:4LxBimF0Owr8n3VRb89nqT	0.369
937	4VmEWwd8y9MCLwexFMdpwt	Method Man	5	0j2m38GsBtxfAwSYhzOlVj	Commercial Break (Impractical Jokers Pranks)	east coast hip hop, gangster rap, hardcore hip hop, hip hop, pop rap, rap, southern hip hop	0.896	https://api.spotify.com/v1/audio-analysis/0j2m38GsBtxfAwSYhzOlVj	0.7	24133	0.482	0.0	10	0.506	-12.772	1	0.921	69.119	5	https://api.spotify.com/v1/tracks/0j2m38GsBtxfAwSYhzOlVj	audio_features	spotify:track:0j2m38GsBtxfAwSYhzOlVj	0.972
938	4VmEWwd8y9MCLwexFMdpwt	Method Man	1	29crxSj3M7JSF2OVsJTSBi	Emergency Forecast (Thotti Gotti Weather Report)	east coast hip hop, gangster rap, hardcore hip hop, hip hop, pop rap, rap, southern hip hop	0.853	https://api.spotify.com/v1/audio-analysis/29crxSj3M7JSF2OVsJTSBi	0.404	16280	0.547	0.00124	10	0.459	-11.11	1	0.166	138.833	4	https://api.spotify.com/v1/tracks/29crxSj3M7JSF2OVsJTSBi	audio_features	spotify:track:29crxSj3M7JSF2OVsJTSBi	0.73
939	3uJx5SnOM59Li7lCxA3b29	Lil Keed	54	596cvRw6BN7MehWwoW9Jfm	Red Hot (feat. Trippie Redd)	atl trap, vapor trap	0.03	https://api.spotify.com/v1/audio-analysis/596cvRw6BN7MehWwoW9Jfm	0.674	198173	0.423	0.0	0	0.391	-10.743	1	0.164	147.18	4	https://api.spotify.com/v1/tracks/596cvRw6BN7MehWwoW9Jfm	audio_features	spotify:track:596cvRw6BN7MehWwoW9Jfm	0.239
940	5mrQPFvQLVkRwBVyob0OY3	Tane	58	5RIaHNJa5MdqeixmViIiwy	YesPlease		0.757	https://api.spotify.com/v1/audio-analysis/5RIaHNJa5MdqeixmViIiwy	0.586	173124	0.497	0.838	11	0.113	-9.972	1	0.198	79.525	4	https://api.spotify.com/v1/tracks/5RIaHNJa5MdqeixmViIiwy	audio_features	spotify:track:5RIaHNJa5MdqeixmViIiwy	0.452
941	5mrQPFvQLVkRwBVyob0OY3	Tane	58	5RIaHNJa5MdqeixmViIiwy	YesPlease		0.757	https://api.spotify.com/v1/audio-analysis/5RIaHNJa5MdqeixmViIiwy	0.586	173124	0.497	0.838	11	0.113	-9.972	1	0.198	79.525	4	https://api.spotify.com/v1/tracks/5RIaHNJa5MdqeixmViIiwy	audio_features	spotify:track:5RIaHNJa5MdqeixmViIiwy	0.452
942	3pFPBG84k5bQVbL9apf2PD	Grace Grundy	60	1HhXmvaPbLicL5iW5VUF28	Ocean (Acoustic)	indie cafe pop, pop, post-teen pop, viral pop	0.892	https://api.spotify.com/v1/audio-analysis/1HhXmvaPbLicL5iW5VUF28	0.586	178166	0.235	0.0	3	0.104	-8.192	1	0.0978	117.571	1	https://api.spotify.com/v1/tracks/1HhXmvaPbLicL5iW5VUF28	audio_features	spotify:track:1HhXmvaPbLicL5iW5VUF28	0.239
943	1U1el3k54VvEUzo3ybLPlM	Kali Uchis	55	5RcuACCOhgoc4ZH57AVCLA	Feel Like A Fool	alternative r&b, colombian pop, indie r&b, pop	0.0245	https://api.spotify.com/v1/audio-analysis/5RcuACCOhgoc4ZH57AVCLA	0.7	185239	0.812	0.0	3	0.102	-4.8	1	0.0311	107.983	4	https://api.spotify.com/v1/tracks/5RcuACCOhgoc4ZH57AVCLA	audio_features	spotify:track:5RcuACCOhgoc4ZH57AVCLA	0.855
944	1U1el3k54VvEUzo3ybLPlM	Kali Uchis	55	7N3c9CKUmRqrt3dDvGWBWG	Gotta Get Up - Interlude	alternative r&b, colombian pop, indie r&b, pop	0.605	https://api.spotify.com/v1/audio-analysis/7N3c9CKUmRqrt3dDvGWBWG	0.488	113270	0.381	0.0872	3	0.0776	-8.095	0	0.0498	140.941	4	https://api.spotify.com/v1/tracks/7N3c9CKUmRqrt3dDvGWBWG	audio_features	spotify:track:7N3c9CKUmRqrt3dDvGWBWG	0.217
945	2p4FqHnazRucYQHyDCdBrJ	Simple Plan	57	4uVjbl6daCwjhDur7qLddu	I'd Do Anything	canadian punk, canadian rock, pop punk, pop rock, post-grunge	0.00143	https://api.spotify.com/v1/audio-analysis/4uVjbl6daCwjhDur7qLddu	0.395	197640	0.917	0.0	8	0.261	-6.86	1	0.133	169.088	4	https://api.spotify.com/v1/tracks/4uVjbl6daCwjhDur7qLddu	audio_features	spotify:track:4uVjbl6daCwjhDur7qLddu	0.563
946	2p4FqHnazRucYQHyDCdBrJ	Simple Plan	57	4uVjbl6daCwjhDur7qLddu	I'd Do Anything	canadian punk, canadian rock, pop punk, pop rock, post-grunge	0.00143	https://api.spotify.com/v1/audio-analysis/4uVjbl6daCwjhDur7qLddu	0.395	197640	0.917	0.0	8	0.261	-6.86	1	0.133	169.088	4	https://api.spotify.com/v1/tracks/4uVjbl6daCwjhDur7qLddu	audio_features	spotify:track:4uVjbl6daCwjhDur7qLddu	0.563
947	49WbztFLx9iDTh8LHEIF84	Flitz&Suppe	58	60ONwBU0GgM3kJhPEOhTx0	About The Distance	chillhop, jazz boom bap, lo-fi beats	0.454	https://api.spotify.com/v1/audio-analysis/60ONwBU0GgM3kJhPEOhTx0	0.688	192000	0.177	0.626	8	0.376	-14.061	0	0.0507	79.994	4	https://api.spotify.com/v1/tracks/60ONwBU0GgM3kJhPEOhTx0	audio_features	spotify:track:60ONwBU0GgM3kJhPEOhTx0	0.316
948	49WbztFLx9iDTh8LHEIF84	Flitz&Suppe	58	60ONwBU0GgM3kJhPEOhTx0	About The Distance	chillhop, jazz boom bap, lo-fi beats	0.454	https://api.spotify.com/v1/audio-analysis/60ONwBU0GgM3kJhPEOhTx0	0.688	192000	0.177	0.626	8	0.376	-14.061	0	0.0507	79.994	4	https://api.spotify.com/v1/tracks/60ONwBU0GgM3kJhPEOhTx0	audio_features	spotify:track:60ONwBU0GgM3kJhPEOhTx0	0.316
949	1sWWXO9dckUfAgKYJLZ8Nc	Barnes Blvd.	59	6okflAl3X7elXPx7MgJMi6	I Have Love for Everyone Besides Myself.	chillhop, lo-fi beats	0.97	https://api.spotify.com/v1/audio-analysis/6okflAl3X7elXPx7MgJMi6	0.352	161239	0.238	0.586	0	0.0664	-18.408	1	0.1	72.649	3	https://api.spotify.com/v1/tracks/6okflAl3X7elXPx7MgJMi6	audio_features	spotify:track:6okflAl3X7elXPx7MgJMi6	0.0376
