	artist_names	popularity_score	track_names	genres_all	acousticness	danceability	duration_ms	energy	instrumentalness	liveness	loudness	mode	speechiness	tempo	time_signature	valence
552	Blanco White	67	Olalla	chamber pop, folk-pop, indie anthem-folk, indie folk	0.662	0.5720000000000001	247373	0.409	0.29600000000000004	0.125	-11.384	1	0.0377	129.983	4	0.35100000000000003
553	Blanco White	67	Olalla	chamber pop, folk-pop, indie anthem-folk, indie folk	0.662	0.5720000000000001	247373	0.409	0.29600000000000004	0.125	-11.384	1	0.0377	129.983	4	0.35100000000000003
554	Fabolous	63	Ooh Yea (feat. Ty Dolla $ign)	dance pop, gangster rap, hardcore hip hop, hip hop, hip pop, pop, pop rap, r&b, rap, trap music, urban contemporary	0.659	0.77	208027	0.607	0.0	0.159	-6.102	0	0.37200000000000005	150.006	4	0.747
555	Kelly Rowland	64	Kelly	atl hip hop, dance pop, deep pop r&b, hip pop, neo soul, pop, pop rap, post-teen pop, r&b, urban contemporary	0.0284	0.583	181733	0.633	0.0	0.0697	-8.033999999999999	0	0.34	131.981	4	0.501
556	Kelly Rowland	64	Kelly	atl hip hop, dance pop, deep pop r&b, hip pop, neo soul, pop, pop rap, post-teen pop, r&b, urban contemporary	0.0284	0.583	181733	0.633	0.0	0.0697	-8.033999999999999	0	0.34	131.981	4	0.501
557	Kelly Rowland	64	Kelly	atl hip hop, dance pop, deep pop r&b, hip pop, neo soul, pop, pop rap, post-teen pop, r&b, urban contemporary	0.0284	0.583	181733	0.633	0.0	0.0697	-8.033999999999999	0	0.34	131.981	4	0.501
558	Kelly Rowland	64	Kelly	atl hip hop, dance pop, deep pop r&b, hip pop, neo soul, pop, pop rap, post-teen pop, r&b, urban contemporary	0.0284	0.583	181733	0.633	0.0	0.0697	-8.033999999999999	0	0.34	131.981	4	0.501
559	YBN Cordae	61	Alaska	pop rap, rap, trap music, underground hip hop, vapor trap	0.0696	0.9079999999999999	140393	0.531	0.0	0.161	-8.993	0	0.522	140.03799999999998	4	0.872
561	Wale	39	Poledancer (feat. Megan Thee Stallion)	gangster rap, hip hop, indie r&b, pop, pop rap, r&b, rap, southern hip hop, trap music, urban contemporary	0.203	0.852	209105	0.5870000000000001	0.0	0.0835	-6.489	1	0.253	134.024	4	0.305
562	Wale	39	Poledancer (feat. Megan Thee Stallion)	gangster rap, hip hop, indie r&b, pop, pop rap, r&b, rap, southern hip hop, trap music, urban contemporary	0.203	0.852	209105	0.5870000000000001	0.0	0.0835	-6.489	1	0.253	134.024	4	0.305
