,artist_ids,genres_all
73,5dHt1vcEm9qb8fCyLcB3HL,"hip hop, pop, pop rap, rap, southern hip hop, trap music, underground hip hop"
74,4OBJLual30L7gRl5UkeRcT,"atl hip hop, dance pop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap music"
75,2wUjUUtkb5lvLKcGKsKqsR,"canadian contemporary r&b, dance pop, pop, post-teen pop, r&b"
76,49e4v89VmlDcFCMyDv9wQ9,"adult standards, christmas, easy listening, lounge"
77,5ZS223C6JyBfXasXxrRqOk,"alternative r&b, dance pop, deep pop r&b, hip pop, indie r&b, pop, pop rap, r&b, rap, urban contemporary"
78,6JL8zeS1NmiOftqZTRgdTz,"dance pop, hip pop, pop, post-teen pop"
79,1Bl6wpkWCQ4KVgnASpvzzA,"boy band, hip hop, rap"
80,3BmGtnKgCSGYIUhmivXKWX,"dance pop, neo mellow, pop, pop rock, post-teen pop, r&b, talent show"
81,3gd8FJtBJtkRxdfbTu19U2,modern rock
82,23fqKkggKUBHNkbKtXEls4,"edm, pop, tropical house"
83,5Rl15oVamLq7FbSb0NNBNy,"boy band, dance pop, pop, post-teen pop"
84,6x2LnllRG5uGarZMsD4iO8,"contemporary country, country, country road, modern country rock"
85,0xOeVMOz2fVg5BJY3N6akT,"hip hop, pop, pop rap, rap, underground hip hop"
86,20wkVLutqVOYrc0kxFs7rA,"canadian contemporary r&b, indie r&b, pop"
87,6AUl0ykLLpvTktob97x9hO,"detroit hip hop, detroit trap, hip hop, pop rap, rap, southern hip hop, trap music"
88,5dHt1vcEm9qb8fCyLcB3HL,"hip hop, pop, pop rap, rap, southern hip hop, trap music, underground hip hop"
89,5JZ7CnR6gTvEMKX4g70Amv,"dance pop, electropop, pop, post-teen pop"
90,0C8ZW7ezQVs4URX5aX7Kqx,"dance pop, pop, post-teen pop"
91,7rkW85dBwwrJtlHRDkJDAC,"canadian hip hop, pop, pop rap, rap, southern hip hop, trap music"
92,6vXTefBL93Dj5IqAWq6OTv,"hip hop, pop, pop rap, rap, southern hip hop, trap music"
93,4nDoRrQiYLoBzwC5BhVJzF,"dance pop, pop, post-teen pop, r&b"
94,3KV3p5EY4AvKxOlhGHORLg,"dance pop, hip hop, pop, pop rap, r&b, rap, southern hip hop, trap music, urban contemporary"
95,2RDOrhPqAM4jzTRCEb19qX,"hip hop, pop rap, rap, southern hip hop, trap music, underground hip hop"
96,699OTQXzgjhIYAHMy9RyPD,"atl hip hop, hip hop, pop rap, rap, southern hip hop, trap music, underground hip hop, vapor trap"
97,7HkdQ0gt53LP4zmHsL0nap,"dance pop, pop, r&b, uk contemporary r&b, urban contemporary"
98,7tYKF4w9nC0nq9CsPZTHyP,"hip hop, indie r&b, pop, pop rap, r&b, rap"
99,5fMUXHkw8R8eOP2RNVYEZX,"bmore, edm, moombahton, ninja, pop, rap"
100,7iZtZyCzp3LItcw1wtPI3D,"hip hop, pop, pop rap, rap, southern hip hop, trap music"
101,3oSJ7TBVCWMDMiYjXNiCKE,"contemporary country, country road"
102,7hJcb9fa4alzcOq3EaNPoG,"g funk, gangster rap, hip hop, pop rap, rap, west coast rap"
103,4VMYDCV2IEDYJArk749S6m,"latin, latin hip hop, pop, reggaeton, tropical"
104,4UXqAaa6dQYAk18Lv7PEgX,"emo, modern rock, pop punk"
105,0cGUm45nv7Z6M6qdXYQGTX,"dance pop, indie r&b, pop, post-teen pop, r&b, rap, urban contemporary"
106,2iojnBLj0qIMiKPvVhLnsH,"dance pop, pop, pop rap, r&b, southern hip hop, urban contemporary"
107,1SupJlEpv7RS2tPNRaHViT,"latin, latin hip hop, pop, reggaeton, tropical"
108,5zctI4wO9XSKS8XwcnqEHk,"rap, rap conscient, trap music, vapor trap"
109,2EMAnMvWE2eb56ToJVfCWs,"hip hop, pop, pop rap, r&b, rap, trap music"
110,3BmGtnKgCSGYIUhmivXKWX,"dance pop, neo mellow, pop, pop rock, post-teen pop, r&b, talent show"
111,3gd8FJtBJtkRxdfbTu19U2,modern rock
112,23fqKkggKUBHNkbKtXEls4,"edm, pop, tropical house"
113,5Rl15oVamLq7FbSb0NNBNy,"boy band, dance pop, pop, post-teen pop"
114,23zg3TcAtWQy7J6upgbUnj,"atl hip hop, dance pop, pop, pop rap, r&b, urban contemporary"
