,artist_ids,genres_all
1255,2retT7MFwHDVTeGKDdybEx,"deep pop r&b, hip pop, pop, r&b, urban contemporary"
1256,3ZotbHeyVQKxQCPDJuQ4SU,"alternative hip hop, east coast hip hop, hardcore hip hop, hip hop, neo soul, southern hip hop"
1257,6XFITTl7cFTdopDY3lUdlY,"latin, latin hip hop, reggaeton, reggaeton flow, tropical"
1258,69cjjIQEN8M6heOBT2SqZE,"chillhop, lo-fi beats"
1259,25oLRSUjJk4YHNUsQXk7Ut,edm
1260,53QzNeFpzAaXYnrDBbDrIp,"classic soul, disco, funk, motown, quiet storm, soul, southern soul"
1261,4YCpRzudpG6AeE0IvCjiGo,"anthem worship, christian uplift, deep ccm, indiecoustica, world worship, worship"
1262,4lrOh2SR7H3guHky2lAYOk,"environmental, sleep, sound effects"
1263,4hRL2QmahOYxXNmNKtG1AI,"rap, trap music, underground hip hop, vapor trap"
1264,11gWrKZMBsGQWmobv3oNfW,"aussietronica, brostep, edm, electra, electronic trap, escape room"
1265,4salDzkGmfycRqNUbyBphh,"album rock, art rock, classic rock, folk rock, hard rock, mellow gold, progressive rock, rock, soft rock, symphonic rock"
1266,7rpf45DdbpweG51Acze45i,"adult standards, big band, cabaret, christmas, easy listening, lounge, swing, vocal jazz"
1267,1iH2Yx2Ea0kZ0zKI3Nlk30,"emo rap, indie pop rap, indie poptimism, pop"
1268,6PDLwWvgYNMfBRLqC1h5cJ,"alternative r&b, rap, trap soul, underground hip hop"
1269,79FMDwzZQxHgSkIYBl3ODU,"contemporary country, country, country road, modern country rock, redneck"
1270,16QSVsPKl743hu4U5C18R8,"acoustic pop, anthem worship, christian uplift, folk-pop, indiecoustica, neo mellow, stomp and holler"
1271,6zVFRTB0Y1whWyH7ZNmywf,australian reggae fusion
1272,3Uobr6LgQpBbk6k4QGAb3V,"post-screamo, screamo"
1273,0dEvJpkqhrcn64d3oI8v79,"alternative rock, canadian indie, canadian pop, canadian rock, comic, pop rock, post-grunge"
1274,27T030eWyCQRmDyuvr1kxY,"album rock, german metal, german rock, hard rock, metal, rock"
1275,4LZ4De2MoO3lP6QaNCfvcu,"chillstep, edm, indie poptimism, tropical pop edm"
1276,3UjPnt2nRmw10N58bBeNOg,"alternative r&b, indie r&b, trap soul"
1277,521qvhdobR0GzhvU6TFw76,"big room, dance pop, deep tropical house, edm, electro house, electropop, pop, progressive electro house, progressive house, progressive trance, tropical house, tropical pop edm"
1278,6jsjhAEteAlY0vCiLvMLBA,"electropop, indie poptimism, tropical pop edm, vapor soul"
1279,0FWzNDaEu9jdgcYTbcOa4F,"dance pop, electropowerpop, emo, pop punk, pop rap, post-teen pop"
1280,3GMoVpWJy4smKuxFuFTwXC,funk
1281,0Ya43ZKWHTKkAbkoJJkwIB,"garage rock, indie pop, indie rock, indietronica, modern alternative rock, modern rock, rock"
1282,2p4FqHnazRucYQHyDCdBrJ,"canadian punk, canadian rock, pop punk, pop rock, post-grunge"
1283,5XE0fiZWGbq9TcSuWwJ1fA,"chillhop, lo-fi beats"
1284,1ackd5XprZEkH3McKbQD51,"dance pop, electro latino, latin, latin pop, pop, tropical"
1285,2OpqcUtj10HHvGG6h9VYC5,"country, country gospel, country rock, cowboy western, nashville sound, outlaw country, traditional country"
1286,6wKxOKEA3K6R2UZ3COLXEY,"edm, electropop, indie electro-pop, indie poptimism, indietronica, vapor soul"
1287,3OpnoUqoRIHWbsFs4Nw0NQ,"adult standards, big band, cabaret, christmas, lounge, swing, vocal jazz"
1288,4ehtJnVumNf6xzSCDk8aLB,"big room, dance pop, deep tropical house, edm, electro house, pop, tropical house"
1289,3dz0NnIZhtKKeXZxLOxCam,"big room, brostep, complextro, edm, electro house, progressive electro house"
1290,3QLIkT4rD2FMusaqmkepbq,"dance pop, pop, post-teen pop, viral pop"
1291,2hGh5VOeeqimQFxqXvfCUf,"bebop, contemporary post-bop, cool jazz, free jazz, hard bop, jazz, jazz saxophone"
1292,7oWSqrgMuIEyH9qp5nu2e5,"canadian children's music, children's folk, children's music"
1293,3IhWQSrLj8EJjdvjFTpCyo,"contemporary country, country, country gospel, country rock, nashville sound, traditional country"
1294,4P0dddbxPil35MNN9G2MEX,"chicano rap, gangster rap, hardcore hip hop, hip hop, rap, rap rock, west coast rap"
1295,4vpDg7Y7fU982Ds30zawDA,"album rock, blues-rock, classic canadian rock, classic rock, country rock, folk, folk rock, heartland rock, jam band, mellow gold, psychedelic rock, rock, roots rock, soft rock, southern rock, traditional folk"
1296,2DzRMyWgjuMbYvt5BLbpCo,"dance pop, neo soul, new jack swing, quiet storm, r&b, soul, urban contemporary"
1297,3wWtfT7S2uVJJ3hGZlOLkZ,"banjo, folk-pop, indiecoustica, modern alternative rock, modern rock, stomp and holler"
1298,3s8alQfNnY0roAHaJh7Xxt,"hip hop, pop rap, rap, southern hip hop, trap music, underground hip hop, west coast trap"
1299,4p07QU02SrLsaORo25h2Lg,"deep pop r&b, hip pop, r&b, urban contemporary"
1300,1XpDYCrUJnvCo9Ez6yeMWh,"alternative metal, comedy rock, comic, post-grunge, rock"
1301,5cj0lLjcoR7YOSnhnX0Po5,"alternative r&b, electropop, escape room, la indie, pop"
1302,4sf4DrAOkheqktxTyKm7tO,otacore
1303,2wmwGWrqRizLaSEYrm5dzZ,"banda, cumbia, grupera, norteno, ranchera, regional mexican"
1304,7crPfGd2k81ekOoSqQKWWz,"album rock, heartland rock, mellow gold, rock"
1305,2Hjj68yyUPiC0HKEOigcEp,"dance pop, neo mellow, pop, pop rock, post-teen pop, r&b, urban contemporary, viral pop"
1306,1bq8rqNnfrojn0OSAfeNXJ,"chillhop, emo rap, lo-fi beats"
1307,1hzMcARZTayoVUZwkkiBUb,asmr
1308,5CGtBYmVPeLhI1kM2Fn9Gv,"banda, grupera, norteno, ranchera, regional mexican"
1309,3lDpdwM8KILepMHqBWUhIA,"glam rock, modern alternative rock, modern rock"
1310,6TV0LZ3BaEun0OQEh96elP,
1311,3QJzdZJYIAcoET1GcfpNGi,"reggae, reggae fusion"
1312,0nnp7oJpY2J6yZOqtdKaWq,"banda, grupera, norteno, regional mexican, tejano"
1313,6J7rw7NELJUCThPbAfyLIE,"acoustic pop, folk-pop, indie folk, indiecoustica, neo mellow, new americana, stomp and holler"
1314,0CjWKoS55T7DOt0HJuwF1H,gauze pop
1315,3X458ddYA2YcVWuVIGGOYe,"dance pop, hip pop, neo soul, new jack swing, quiet storm, r&b, urban contemporary"
1316,4W12lEvVl5wectUtRNrvDh,sleep
1317,4tw2Lmn9tTPUv7Gy7mVPI4,"adult standards, country, mellow gold, nashville sound, soft rock, traditional country"
1318,63wjoROpeh5f11Qm93UiJ1,"dance pop, deep pop r&b, hip pop, pop, pop rap, post-teen pop, r&b, urban contemporary"
1319,0le01dl1WllSHhjEXRl4in,"canadian pop, dance pop, deep pop r&b, hip pop, neo soul, new jack swing, quiet storm, r&b, urban contemporary"
1320,2d3VHzlOEwXvmBdS4pzOPL,"contemporary country, country, country dawn, dance pop, pop rock"
1321,7GaxyUddsPok8BuhxN6OUW,"christmas, funk, motown, quiet storm, soul"
1322,3e2jFFSyQ3RQDSi1YI543i,
1323,3WaJSfKnzc65VDgmj2zU8B,"alternative dance, alternative rock, dance-punk, garage rock, indie pop, indie rock, indietronica, modern rock, new rave, rock"
1324,0JOxt5QOwq0czoJxvSc5hS,trap soul
1325,278ZYwGhdK6QTzE3MFePnP,"alternative metal, groove metal, melodic metalcore, metal, metalcore, nu metal, rap rock"
1326,3eCd0TZrBPm2n9cDG6yWfF,"k-pop, korean pop, korean r&b"
1327,4BANbHDs1IluagTx5eRW2P,"canadian contemporary country, contemporary country, country road, lift kit, modern country rock, redneck"
1328,5iqStkZi6QmG8sgQZQrfGN,"canadian contemporary country, contemporary country"
1329,5PokPZn11xzZXyXSfnvIM3,"alternative metal, neo mellow, pop rock, post-grunge"
1330,0RpddSzUHfncUWNJXKOsjy,"indie pop, modern alternative rock, modern rock, neo mellow, pop, pop punk, pop rock, post-teen pop"
1331,21egYD1eInY6bGFcniCRT1,"folk-pop, indie folk, indie pop, swedish americana"
1332,3KuLo66B73btyQpdXlkqFx,"rap, southern hip hop, trap music"
1333,62DmErcU7dqZbJaDqwsqzR,"dancehall, reggae fusion"
1334,0Cd6nHYwecCNM1sVEXKlYr,"big room, brostep, catstep, dance pop, edm, electra, electro house, pop"
1335,4mwXUEKaW4ftbncf9Hi58l,"deep pop r&b, r&b, urban contemporary"
1336,4leTWyczsXYGlzUh8sFGSz,"anthem worship, ccm, christian music, deep ccm, world worship, worship"
1337,0rlS0SzVFk8BoiAW0fGBbN,
1338,3a9qv6NLHnsVxJUtKOMHvD,"edm, electro house, glitch, glitch hop"
1339,7EIOmfcBRSR63ZaUptkD09,"emo rap, lo-fi beats"
1340,21egYD1eInY6bGFcniCRT1,"folk-pop, indie folk, indie pop, swedish americana"
1341,62DmErcU7dqZbJaDqwsqzR,"dancehall, reggae fusion"
1342,0Cd6nHYwecCNM1sVEXKlYr,"big room, brostep, catstep, dance pop, edm, electra, electro house, pop"
1343,4mwXUEKaW4ftbncf9Hi58l,"deep pop r&b, r&b, urban contemporary"
1344,4leTWyczsXYGlzUh8sFGSz,"anthem worship, ccm, christian music, deep ccm, world worship, worship"
1345,0rlS0SzVFk8BoiAW0fGBbN,
1346,3a9qv6NLHnsVxJUtKOMHvD,"edm, electro house, glitch, glitch hop"
1347,7EIOmfcBRSR63ZaUptkD09,"emo rap, lo-fi beats"
1348,2tMOCIpxj6jwM9e6pmwGiP,"underground hip hop, vapor trap"
1349,5nki7yRhxgM509M5ADlN1p,"big room, dance pop, deep big room, edm, electro house, house, progressive electro house, progressive house, tropical house"
1350,5o206eFLx38glA2bb4zqIU,"anti-folk, chamber pop, folk-pop, indie folk, indie pop, indie rock, lo-fi, melancholia, modern rock, omaha indie, slow core, stomp and holler"
1351,5yCkSShz4MTqE4Lp6fVZMz,"broadway, hollywood, show tunes"
1352,2WoVwexZuODvclzULjPQtm,"alternative r&b, indie r&b, neo soul"
1353,6nzxy2wXs6tLgzEtqOkEi2,"dance pop, deep pop r&b, hip pop, neo soul, new jack swing, quiet storm, r&b, urban contemporary"
1354,4stSxe6AbpXw3x7nRDsYVX,"banda, regional mexican, regional mexican pop"
1355,2G8UkPZnQ8i78L8TfqP1X6,"lo-fi beats, pop"
1356,6TV0LZ3BaEun0OQEh96elP,
1357,3QJzdZJYIAcoET1GcfpNGi,"reggae, reggae fusion"
1358,0nnp7oJpY2J6yZOqtdKaWq,"banda, grupera, norteno, regional mexican, tejano"
1359,6J7rw7NELJUCThPbAfyLIE,"acoustic pop, folk-pop, indie folk, indiecoustica, neo mellow, new americana, stomp and holler"
1360,7p09I0vsEMYEjeeAcLQckE,
1361,0zPILh9oEH0fDagpkHTQQ8,"emo rap, lo-fi beats, underground hip hop"
1362,2xe8IXgCTpwHE3eA9hTs4n,"alternative r&b, dance pop, electropop, indie poptimism, indie r&b, indietronica, pop, tropical house, vapor soul"
1363,5xuNBZoM7z1Vv8IQ6uM0p6,"dance pop, electropop, hip pop, pop, post-teen pop, r&b, urban contemporary"
1364,6FxuPrpa8phaP3Xn73emhT,"deep new americana, folk-pop, funk, indie folk, jam band, modern blues, new americana, progressive bluegrass, roots rock, southern rock, stomp and holler"
1365,7slfeZO9LsJbWgpkIoXBUJ,"dance pop, latin, latin pop, mexican pop, pop, tropical"
1366,5TnQc2N1iKlFjYD7CPGvFc,"k-pop, korean pop"
1367,3hteYQFiMFbJY7wS0xDymP,"destroy techno, electro house"
1368,099toTcKJoywTosZr2hHjy,"alternative country, anti-folk, chamber pop, deep new americana, folk-pop, indie folk, indie pop, new americana, roots rock, stomp and holler"
1369,168dgYui7ExaU612eooDF1,pop punk
1370,1QL7yTHrdahRMpvNtn6rI2,"baroque, classical, early music, english baroque, german baroque"
1371,1LrWZc2qPhRCHyr6XtpBxq,"conscious hip hop, deep underground hip hop, hip hop, indie pop rap, pop rap, rap, southern hip hop, trap music, underground hip hop"
1372,7FU0xCgmSYQEiBeevUqQ4S,"electropop, indie folk, indie pop, indie poptimism, indie psych-rock, indietronica, modern alternative rock, modern rock, stomp and holler, vapor soul"
1373,7KkqUt65v6LMtR369OQ6FB,"hollywood, show tunes"
1374,7gSjFKpVmDgC2MMsnN8CYq,"alternative r&b, dance pop, deep pop r&b, hip pop, indie r&b, neo soul, pop, r&b, urban contemporary"
1375,25tMQOrIU4LlUo6Sv8v5SE,"neo mellow, pop, viral pop"
1376,3dwkO7z23scCJppeqHGTy3,
1377,4QVBYiagIaa6ZGSPMbybpy,latin pop
1378,2wC90WSKQd0BvdxJZ0mObr,"banda, grupera, norteno, regional mexican"
1379,2lbUjuMzHkT4qIECvk2f3L,chinese hip hop
1380,2U3FuHYvL3vhkbDAXm24Ep,"neo soul, uk contemporary r&b"
1381,0f3PsS9IQ6whvNMFFKnpjl,"british choir, choral"
1382,2HB65P72dFRiOKvbLLcil2,"hollywood, pop, post-teen pop"
1383,0MvSBMGRQJY3mRwIbJsqF1,orchestra
1384,1Fr6agZ6iSM5Ynn2k4C8sc,"brooklyn indie, dance pop, electropop, indie electro-pop, indie poptimism, indietronica, metropopolis, pop, vapor pop, vapor soul"
1385,4f9iBmdUOhQWeP7dcAn1pf,neo soul
1386,5ojhEavq6altxW8fWIlLum,"alternative metal, emo, metalcore, pixie, pop punk, screamo"
1387,0taUqKeI9JbGZECxu5bVV0,"deep pop r&b, pop, r&b, trap queen"
1388,79Xp2rRN7wdsaTJgttdX3K,"australian pop, dance pop, pop, post-teen pop, teen pop, viral pop"
1389,6G1yTgvoYsuVb2Ja8cVVJ2,"alternative r&b, canadian hip hop, deep pop r&b, trap soul"
1390,4TKTii6gnOnUXQHyuo9JaD,"folk, folk-pop, lilith, mellow gold, new wave pop, permanent wave, pop rock, rock"
1391,159qqlGwzE04xyqpfAwRLo,"alternative metal, melodic metalcore, metalcore, nu metal, screamo"
1392,1SCWcYnoEh1978ycTDhZoW,children's music
1393,0OcclcP5o8VKH2TRqSY2A7,"canadian classical, canadian soundtrack, scorecore, soundtrack, video game music"
1394,3LkSiHbjqOHCKCqBfEZOTv,"alternative metal, melodic metalcore, metalcore, nu metal, pop punk, post-grunge, rap rock, screamo"
1395,5o206eFLx38glA2bb4zqIU,"anti-folk, chamber pop, folk-pop, indie folk, indie pop, indie rock, lo-fi, melancholia, modern rock, omaha indie, slow core, stomp and holler"
1396,5yCkSShz4MTqE4Lp6fVZMz,"broadway, hollywood, show tunes"
1397,2WoVwexZuODvclzULjPQtm,"alternative r&b, indie r&b, neo soul"
1398,6nzxy2wXs6tLgzEtqOkEi2,"dance pop, deep pop r&b, hip pop, neo soul, new jack swing, quiet storm, r&b, urban contemporary"
1399,4stSxe6AbpXw3x7nRDsYVX,"banda, regional mexican, regional mexican pop"
1400,6vVztIuqdDHvYWxOEXCzjN,"indie garage rock, indie psych-rock, orlando indie, vapor soul"
1401,4FCzCS0KEgb0rgySWINItO,"big room, deep big room, deep groove house, edm, electro house, house, progressive electro house, progressive house, tropical house, tropical pop edm"
1402,5Nf5yishRW9Ye174sJISkg,
1403,2snm3HmsnDUDxbIChdl2Oj,"hollywood, movie tunes"
1404,4tujQJicOnuZRLiBFdp3Ou,"detroit hip hop, g funk, gangster rap, hardcore hip hop, hip hop, pop rap, rap, southern hip hop, west coast rap"
1405,0f4zEF6vddRYg7Y3GDL8lk,"british comedy, comedy, comic"
1406,7BAaznGSsqcksud4R5ou5z,
1407,7CdGfkCRgPhElnqy3HPJ4a,
1408,59KX7XUUgAOOo5IyDjca0T,"lo-fi beats, vapor soul"
1409,2D4FOOOtWycb3Aw9nY5n3c,"modern alternative rock, modern rock"
1410,070kGpqtESdDsLb3gdMIyx,"canadian contemporary country, contemporary country, country, country road, modern country rock"
1411,1XhhO2dTs2fKyhILj0aam6,"contemporary country, country, country road, modern country rock"
1412,1mX1TWKpNxDSAH16LgDfiR,"latin, latin arena pop, latin pop, mexican pop, pop"
1413,6aLdhHUqgdKE86xbtNmY8g,"k-indie, k-pop, korean pop, korean r&b"
1414,6xrCU6zdcSTsG2hLrojpmI,"chamber pop, folk-pop, gothenburg indie, indie folk, neo mellow, stomp and holler, swedish indie pop, swedish singer-songwriter"
1415,3gMaNLQm7D9MornNILzdSl,"adult standards, disco, mellow gold, motown, quiet storm, soft rock"
1416,6BMhCQJYHxxKAeqYS1p5rY,"alternative metal, nu metal, pop rock, post-grunge, rap rock"
1417,3z6Gk257P9jNcZbBXJNX5i,"chamber pop, folk-pop, indie folk, indie pop, lilith, piano rock, pop rock"
1418,2ht3wxeT69CzyKFChNnNAB,"atl hip hop, dirty south rap, hip hop, pop rap, southern hip hop"
1419,7G1GBhoKtEPnP86X2PvEYO,"adult standards, christmas, jazz blues, neo soul, soul, soul jazz, vocal jazz"
1420,1SCWcYnoEh1978ycTDhZoW,children's music
1421,0OcclcP5o8VKH2TRqSY2A7,"canadian classical, canadian soundtrack, scorecore, soundtrack, video game music"
1422,3LkSiHbjqOHCKCqBfEZOTv,"alternative metal, melodic metalcore, metalcore, nu metal, pop punk, post-grunge, rap rock, screamo"
1423,5o206eFLx38glA2bb4zqIU,"anti-folk, chamber pop, folk-pop, indie folk, indie pop, indie rock, lo-fi, melancholia, modern rock, omaha indie, slow core, stomp and holler"
1424,5yCkSShz4MTqE4Lp6fVZMz,"broadway, hollywood, show tunes"
1425,2WoVwexZuODvclzULjPQtm,"alternative r&b, indie r&b, neo soul"
1426,6nzxy2wXs6tLgzEtqOkEi2,"dance pop, deep pop r&b, hip pop, neo soul, new jack swing, quiet storm, r&b, urban contemporary"
1427,4stSxe6AbpXw3x7nRDsYVX,"banda, regional mexican, regional mexican pop"
1428,2G8UkPZnQ8i78L8TfqP1X6,"lo-fi beats, pop"
1429,6TV0LZ3BaEun0OQEh96elP,
1430,3xYXYzm9H3RzyQgBrYwIcx,"new americana, saskatchewan indie"
1431,3L8FZaw2Rg1oUw3vB4gUME,"deep underground hip hop, indie pop rap"
1432,5wpEBloInversG3zp3CVAk,"anthem worship, ccm, christian alternative rock, christian music, christian rock, world worship, worship"
1433,2848adRcxvgWNRcz1g1tQD,"deep underground hip hop, underground hip hop"
1434,6ziEnj8UydSg8dr68C3aut,"banda, cumbia, grupera, norteno, ranchera, regional mexican"
1435,4pADjHPWyrlAF0FA7joK2H,"australian pop, dance pop, desi, indian pop, pop, pop rap, post-teen pop, r&b, urban contemporary"
1436,1sxekzjeHJaqkZbpaaGR9x,"banda, cumbia, duranguense, grupera, norteno, regional mexican"
1437,6ns6XAOsw4B0nDUIovAOUO,"alternative hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap, southern hip hop"
1438,1FqqOl9itIUpXr4jZPIVoT,"adult standards, brill building pop, bubblegum pop, christmas, folk rock, lounge, mellow gold, motown, rhythm and blues, rock-and-roll, rockabilly, soul"
1439,6dgwEwnK0YtDfS9XhRwBTG,"alternative dance, alternative rock, chamber pop, dance-punk, folk-pop, garage rock, indie folk, indie pop, indie rock, indietronica, la indie, modern rock, neo-psychedelic, new rave, rock, shimmer pop, stomp and holler"
1440,1P8IfcNKwrkQP5xJWuhaOC,"east coast hip hop, hardcore hip hop, hip hop, hip pop, new jack swing, old school hip hop, pop rap, r&b, rap, southern hip hop, urban contemporary"
1441,0SdiiPkr02EUdekHZJkt58,"boy band, dance pop, neo mellow, pop rock"
1442,2B4ZHz4QDWJTXPFPgO5peE,"g funk, gangster rap, hardcore hip hop, hip hop, pop rap, rap, west coast rap"
1443,5dfFr2qhmXQLvHZqg0dynx,"emo rap, underground hip hop, vapor trap"
1444,31HjiqargV4NAw4GZqUale,"dirty south rap, gangster rap, hip hop, miami hip hop, pop rap, rap, southern hip hop, trap music"
1445,5j9R5dTGerKvdXopZnfJh9,"norteno, regional mexican"
1446,0tPjSrb43a58uznKru1k2P,"rap, trap music, underground hip hop"
1447,19TNdpWfaN6ekEvovDJ05y,
1448,4LAz9VRX8Nat9kvIzgkg2v,alternative rock
1449,066X20Nz7iquqkkCW6Jxy6,"alternative dance, brooklyn indie, dance-punk, electronic, freak folk, garage rock, indie pop, indie rock, indietronica, modern rock, neo-psychedelic, new rave, new wave"
1450,2B4ZHz4QDWJTXPFPgO5peE,"g funk, gangster rap, hardcore hip hop, hip hop, pop rap, rap, west coast rap"
1451,5dfFr2qhmXQLvHZqg0dynx,"emo rap, underground hip hop, vapor trap"
1452,31HjiqargV4NAw4GZqUale,"dirty south rap, gangster rap, hip hop, miami hip hop, pop rap, rap, southern hip hop, trap music"
1453,5j9R5dTGerKvdXopZnfJh9,"norteno, regional mexican"
1454,0tPjSrb43a58uznKru1k2P,"rap, trap music, underground hip hop"
1455,19TNdpWfaN6ekEvovDJ05y,
1456,4LAz9VRX8Nat9kvIzgkg2v,alternative rock
1457,066X20Nz7iquqkkCW6Jxy6,"alternative dance, brooklyn indie, dance-punk, electronic, freak folk, garage rock, indie pop, indie rock, indietronica, modern rock, neo-psychedelic, new rave, new wave"
1458,6ogn9necmbUdCppmNnGOdi,"alternative rock, canadian pop, folk-pop, lilith, new wave pop, pop rock, singer-songwriter"
1459,7vo2Hl0NDiBr6GcyGDSLFZ,"adult standards, christmas, lounge"
1460,3PAwspMN27PDm81WwXDsMf,"latin, latin hip hop, latin pop, pop, reggaeton, reggaeton flow, trap latino, tropical"
1461,7naAJDAh7AZnf18YYfQruM,"indie pop rap, pop"
1462,0G74PWccc2UbEEHNKVVaKB,"swedish folk pop, swedish pop"
1463,7bvAtcPT3evvSeHDyu2zBC,"anthem worship, christian music, world worship, worship"
1464,1qqdO7xMptucPDMopsOdkr,"anthem emo, deep pop punk, emo, pixie, pop punk"
1465,78xUyw6FkVZrRAtziFdtdu,"alternative hip hop, conscious hip hop, east coast hip hop, hardcore hip hop, hip hop, neo soul, pop rap, rap, southern hip hop"
1466,08dD0frW9WYHRGVa40oILp,otacore
1467,01aC2ikO4Xgb2LUpf9JfKp,"blues-rock, electric blues, funk, garage rock, modern blues, modern blues rock, soul blues, texas blues"
1468,5Lhxlge1CR1DrgDAje8Qaw,"electropop, indie poptimism, indietronica, modern alternative rock, modern rock, vapor soul"
1469,35GL8Cu2GKTcHzKGi75xl5,"dance pop, hip pop, neo soul, pop, r&b, urban contemporary"
1470,6FxuPrpa8phaP3Xn73emhT,"deep new americana, folk-pop, funk, indie folk, jam band, modern blues, new americana, progressive bluegrass, roots rock, southern rock, stomp and holler"
1471,7slfeZO9LsJbWgpkIoXBUJ,"dance pop, latin, latin pop, mexican pop, pop, tropical"
1472,5TnQc2N1iKlFjYD7CPGvFc,"k-pop, korean pop"
1473,3hteYQFiMFbJY7wS0xDymP,"destroy techno, electro house"
1474,099toTcKJoywTosZr2hHjy,"alternative country, anti-folk, chamber pop, deep new americana, folk-pop, indie folk, indie pop, new americana, roots rock, stomp and holler"
1475,168dgYui7ExaU612eooDF1,pop punk
1476,4kLvhMAuCloLxoP1aVM7Lr,"scorecore, soundtrack, video game music"
1477,1QL7yTHrdahRMpvNtn6rI2,"baroque, classical, early music, english baroque, german baroque"
1478,1LrWZc2qPhRCHyr6XtpBxq,"conscious hip hop, deep underground hip hop, hip hop, indie pop rap, pop rap, rap, southern hip hop, trap music, underground hip hop"
1479,7FU0xCgmSYQEiBeevUqQ4S,"electropop, indie folk, indie pop, indie poptimism, indie psych-rock, indietronica, modern alternative rock, modern rock, stomp and holler, vapor soul"
1480,2S5hlvw4CMtMGswFtfdK15,"garage rock, modern alternative rock, modern blues rock, modern hard rock, modern rock, rock"
1481,5xd2Tg7Zo8755eCy8Gxkp8,"latin, latin arena pop, latin pop, mexican pop"
1482,7daSp9zXk1dmqNxwKFkL35,"chillhop, lo-fi beats"
1483,4mN0qcMxWX8oToqfDPM5yV,"bolero, latin pop"
1484,5KKpBU5eC2tJDzf0wmlRp2,"dance pop, house, pop, tropical house, uk contemporary r&b"
1485,0N0d3kjwdY2h7UVuTdJGfp,"bubblegum dance, dance pop, eurodance, europop, german techno"
1486,6jTnHxhb6cDCaCu4rdvsQ0,"dance pop, neo mellow, pop, pop punk, pop rap, pop rock, post-teen pop, teen pop, viral pop"
1487,3Bj81IbILbuj2uEwWXMdXI,
1488,4HgF4KnohByNElYid7iCNb,"dance pop, hip pop, new jack swing, pop rap, r&b, southern hip hop, urban contemporary"
1489,2MqhkhX4npxDZ62ObR5ELO,"alternative metal, funk metal, nu metal, pop punk, pop rock, post-grunge, rap rock"
1490,0rlS0SzVFk8BoiAW0fGBbN,
1491,3a9qv6NLHnsVxJUtKOMHvD,"edm, electro house, glitch, glitch hop"
1492,7EIOmfcBRSR63ZaUptkD09,"emo rap, lo-fi beats"
1493,2tMOCIpxj6jwM9e6pmwGiP,"underground hip hop, vapor trap"
1494,5nki7yRhxgM509M5ADlN1p,"big room, dance pop, deep big room, edm, electro house, house, progressive electro house, progressive house, tropical house"
1495,5xKp3UyavIBUsGy3DQdXeF,"neo mellow, piano rock, pop rock"
1496,1O7bUkov2v71fDS60GOfMD,"asmr, sleep"
1497,29SeiO68HQHBs7pDdWOvvX,"latin christian, rock cristiano"
1498,2LmcxBak1alK1bf7d1beTr,"reggaeton flow, trap latino"
1499,39mHYiNmLR7p8PXNG8Wll6,"hip pop, r&b, trap queen, urban contemporary"
1500,4xoAruVAdJ3SOwVX3px97W,sleep
1501,0Y6dVaC9DZtPNH4591M42W,"chillwave, indie garage rock, indie pop, indie psych-rock, indietronica, modern rock, neo-psychedelic, shimmer pop, shimmer psych"
1502,3ecREliS3Q8g2sCk40y0dw,"banda, cumbia, duranguense, grupera, norteno, ranchera, regional mexican"
1503,4Otx4bRLSfpah5kX8hdgDC,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, hip pop, pop rap, rap"
1504,6i1GVNJCyyssRwXmnaeEFH,"big room, dance pop, deep tropical house, edm, electro house, house, pop, progressive electro house, tropical house"
1505,1YhMWppPt9RVODKD1KCs7W,"banda, grupera, norteno, regional mexican, regional mexican pop"
1506,7LIy7KinYq7a83dUH6kvxT,modern alternative rock
1507,0OgdRTPItr9dw4XYp4JJUx,"melodic metalcore, metalcore, post-screamo, screamo"
1508,5icKdCmMhNMYoAzVBAWt39,
1509,3hyGGjxu73JuzBa757H6R5,"alternative rock, anti-folk, chamber pop, folk punk, folk-pop, freak folk, indie folk, indie pop, indie rock, lo-fi, melancholia, modern rock, neo-psychedelic, new weird america, stomp and holler"
1510,3CQIn7N5CuRDP8wEI7FiDA,"east coast hip hop, hardcore hip hop, hip hop, old school hip hop, rap"
1511,5b0XQwyoJBFd3MwL2YxEPO,"chillhop, lo-fi beats"
1512,2ylQO8qFEBINvkNNZGe4uC,"corrido, regional mexican, regional mexican pop"
1513,5wbIWUzTPuTxTyG6ouQKqz,"blues-rock, jam band, pop rock, roots rock, southern rock"
1514,0rG0AZBscc8S8q1ahIsasI,"bounce, crunk, deep southern trap, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap music"
1515,2J3ZzIQUeYlOyc1mqJflNS,
1516,3pFPBG84k5bQVbL9apf2PD,"indie cafe pop, pop, post-teen pop, viral pop"
1517,1YzCsTRb22dQkh9lghPIrp,"adult standards, cabaret, christmas, jazz, jazz blues, lounge, soul, swing, vocal jazz"
1518,57bUPid8xztkieZfS7OlEV,"adult standards, brill building pop, christmas, classic girl group, classic soul, disco, folk rock, funk, motown, quiet storm, soul"
1519,0RpddSzUHfncUWNJXKOsjy,"indie pop, modern alternative rock, modern rock, neo mellow, pop, pop punk, pop rock, post-teen pop"
1520,59KX7XUUgAOOo5IyDjca0T,"lo-fi beats, vapor soul"
1521,2D4FOOOtWycb3Aw9nY5n3c,"modern alternative rock, modern rock"
